ID,std_length,tactic,cb,peduncle_edge,vb,gold_morph,swd_color,notes (everything in bold means = need 2nd opinion,image #
TABQ-19-XI-22-xmul-38-M,19.118,1,1,1,0,0,1,"cb needs a second opinion, it's a bit faint but evident (GAP: I agree, it is really hard to make the call on this one. Gonna say 1 for now as well but maybe exclude from cb GWAS)",82-83
TABQ-19-XI-22-xmul-39-M,19.277,1,1,1,0,0,1,,84-85
TABQ-19-XI-22-xmul-40-M,19.674,1,0,1,0,0,1,cb needs a second opinion,86-87
TABQ-19-XI-22-xmul-41-M,30.344,0,1,1,1,0,1,,88-89
TABQ-19-XI-22-xmul-42-M,29.947,0,0,1,1,0,1,"cb and tactic need second opinion. looks like courter, no tail though",90-91
TABQ-19-XI-22-xmul-43-M,26.699,0,1,1,1,0,0,,92-93
TABQ-19-XI-22-xmul-44-M,21.558,1,1,1,0,0,0,,94-95
TABQ-19-XI-22-xmul-45-M,21.408,1,1,1,0,0,1,,96-97
TABQ-19-XI-22-xmul-46-M,21.247,1,1,1,0,0,1,,98-99
TABQ-19-XI-22-xmul-47-M,19.023,1,1,1,0,0,1,,2000-2001
TABQ-19-XI-22-xmul-48-M,21.108,1,1,1,0,0,1,,3-Feb
TABQ-19-XI-22-xmul-49-M,19.481,1,1,1,0,1,1,all phenotypes are faint but evidently there,5-Apr
TABQ-19-XI-22-xmul-50-M,18.865,1,1,1,1,0,1,,7-Jun
TABQ-19-XI-22-xmul-51-M,19.409,1,0,1,0,0,1,cb needs second opinion,9-Aug
TABQ-19-XI-22-xmul-52-M,35.067,0,1,1,0,0,1,,11-Oct
TABQ-19-XI-22-xmul-53-M,29.994,0,1,1,1,0,1,,13-Dec
TABQ-19-XI-22-xmul-54-M,30.65,0,1,1,1,0,0,p_e might need a second opinion,14-15
TABQ-19-XI-22-xmul-55-M,32.612,0,1,1,1,0,1,,16-17
TABQ-19-XI-22-xmul-56-M,32.603,0,1,1,0,0,1,"no tail, no true stripes (GAP: based on the size I'm gonna say it's a courter, but vertical bars are missing. Lower sword edge is very strong though)",18-19
TABQ-19-XI-22-xmul-57-M,30.686,0,1,1,1,0,1,,20-21
TABQ-19-XI-22-xmul-58-M,32.402,0,1,1,1,0,1,,22-23
TABQ-19-XI-22-xmul-59-M,31.86,0,1,0,1,0,1,p_e needs a second opinion,24-25
TABQ-19-XI-22-xmul-60-M,30.436,0,1,1,1,0,1,,26-27
TABQ-19-XI-22-xmul-61-M,32.115,0,1,1,1,0,1,,28-29
TABQ-19-XI-22-xmul-62-M,29.551,0,1,1,1,0,1,,30-31
TABQ-19-XI-22-xmul-63-M,28.409,0,1,1,1,0,1,,32-33
TABQ-19-XI-22-xmul-64-M,26.17,0,1,1,1,0,1,,34-35
TABQ-19-XI-22-xmul-65-M,26.198,0,1,1,1,0,1,,36-37
TABQ-19-XI-22-xmul-66-M,27.11,0,1,1,1,0,1,"cb needs a second opinion, its kind of faint. tactic might need a second opinion too (GAP: based on size and vb, I'm going courter)",38-39
TABQ-19-XI-22-xmul-67-M,21.991,1,1,1,0,0,1,,40-41
TABQ-19-XI-22-xmul-68-M,21.908,1,1,1,0,0,1,,42-43
TABQ-19-XI-22-xmul-69-M,21.116,1,1,1,0,1,1,,44-45
TABQ-19-XI-22-xmul-70-M,21.458,1,1,1,0,0,0,,46-47
TABQ-19-XI-22-xmul-71-M,21.337,1,1,1,0,0,0,,48-49
TABQ-19-XI-22-xmul-72-M,21.421,1,1,1,0,0,0,,50-51
TABQ-19-XI-22-xmul-73-M,20.752,1,1,1,0,0,0,,52-53
TABQ-19-XI-22-xmul-74-M,20.771,1,1,1,0,0,1,,54-55
TABQ-19-XI-22-xmul-75-M,20.198,1,1,1,0,0,1,,56-57
TABQ-19-XI-22-xmul-76-M,19.613,1,1,1,0,0,1,,58-59
TABQ-19-XI-22-xmul-77-M,19.407,1,1,1,0,0,1,intermediate gold morph? odd coloration,60-61
TABQ-19-XI-22-xmul-78-M,18.929,1,1,1,0,0,1,,62-63
TABQ-19-XI-22-xmul-79-M,21.061,1,0,1,1,0,1,,64-65
TABQ-19-XI-22-xmul-80-M,20.271,1,1,1,0,0,0,,66-67
TABQ-19-XI-22-xmul-81-M,19.633,1,1,1,0,0,1,cb is faint,68-69
TABQ-19-XI-22-xmul-82-M,32.711,0,1,1,1,0,0,,70-71
TABQ-19-XI-22-xmul-83-M,31.377,0,1,1,1,0,1,,72-73
TABQ-19-XI-22-xmul-84-M,30.566,0,1,1,1,0,1,,74-75
TABQ-19-XI-22-xmul-85-M,29.403,0,1,1,1,0,1,,76-77
TABQ-19-XI-22-xmul-86-M,29.032,0,1,0,1,0,1,"p_e is kind of blue, need a second opinion",78-79
TABQ-19-XI-22-xmul-87-M,29.884,0,1,1,1,0,1,,80-81
TABQ-19-XI-22-xmul-88-M,27.108,0,1,1,1,0,1,,82-83
TABQ-19-XI-22-xmul-89-M,32.545,0,0,1,1,0,1,cb might need a second opinion,84-85
TABQ-19-XI-22-xmul-90-M,32.273,0,1,1,1,0,1,,86-87
TABQ-19-XI-22-xmul-91-M,21.7,1,1,1,0,0,0,,88-89
TABQ-19-XI-22-xmul-92-M,21.207,1,1,1,0,0,1,,90-91
TABQ-19-XI-22-xmul-93-M,20.033,1,1,1,0,0,1,,92-93
TABQ-19-XI-22-xmul-94-M,21.166,1,1,1,0,0,0,,94-95
TABQ-19-XI-22-xmul-95-M,19.391,1,1,1,0,0,1,,96-97
TABQ-19-XI-22-xmul-96-M,34.269,0,1,1,1,0,1,tail is really short (GAP: another pseudo gold morph but this time it's a courter),98-99
TABQ-19-XI-22-xmul-97-M,29.924,0,1,1,1,0,0,(GAP: another pseudo gold morph but this time it's a courter),2100-2101
TABQ-19-XI-22-xmul-98-M,29.678,0,1,1,1,0,1,,3-Feb
TABQ-19-XI-22-xmul-99-M,30.454,0,1,1,1,0,1,no tail or it's REALLLLLLY short,6-May
TABQ-19-XI-22-xmul-100-M,32.461,0,1,1,1,0,1,,8-Jul
TABQ-19-XI-22-xmul-101-M,29.311,0,1,1,1,0,1,gives sneaker vibes but im pretty sure it's courter,10-Sep
TABQ-19-XI-22-xmul-102-M,34.072,0,1,1,1,0,1,,12-Nov
TABQ-19-XI-22-xmul-103-M,30.317,0,0,1,1,0,1,GAP: this is as close to a gold morph as I have seen for a courter but I'm still saying no—it's not as vibrant as the sneaker gold morphs,13-14
TABQ-19-XI-22-xmul-104-M,29.834,0,1,0,1,0,1,p_e needs second opinion,15-16
TABQ-19-XI-22-xmul-105-M,34.052,0,1,0,1,0,1,,17-18
TABQ-19-XI-22-xmul-106-M,30.501,0,1,0,1,0,1,p_e needs a second opinion,19-20
TABQ-19-XI-22-xmul-107-M,28.982,0,0,1,1,0,1,,21-22
TABQ-19-XI-22-xmul-108-M,30.069,0,1,0,1,0,1,cb is faint in second image,23-24
TABQ-19-XI-22-xmul-109-M,32.443,0,1,0,1,0,1,cb is pretty faint,25-26
TABQ-19-XI-22-xmul-110-M,31.435,0,1,0,1,0,1,p_e needs a second opinion,27-28
TABQ-19-XI-22-xmul-111-M,25.8,0,1,1,1,0,1,,29-30
TABQ-19-XI-22-xmul-112-M,29.72,0,1,1,1,0,1,p_e needs a second opinion,31-32
TABQ-19-XI-22-xmul-113-M,34.709,0,1,1,1,0,0,,33-34
TABQ-19-XI-22-xmul-114-M,18.712,1,1,1,0,0,0,,35-36
TABQ-19-XI-22-xmul-115-M,19.92,1,1,1,0,0,1,,37-38
TABQ-19-XI-22-xmul-116-M,21.872,1,1,1,0,0,1,,39-40
TABQ-19-XI-22-xmul-117-M,20.79,1,1,1,0,0,0,,41-42
TABQ-19-XI-22-xmul-118-M,19.512,1,0,1,0,1,1,,43-44
TABQ-19-XI-22-xmul-119-M,20.084,1,1,1,0,0,0,,45-46
TABQ-19-XI-22-xmul-120-M,21.346,1,1,1,0,0,1,pb kind of faint,47-48
TABQ-19-XI-22-xmul-121-M,19.663,1,0,1,0,0,1,pb need second opinion,49-50
TABQ-19-XI-22-xmul-122-M,19.91,1,0,1,0,0,1,,51-52
TABQ-19-XI-22-xmul-123-M,20.723,1,1,1,0,0,0,,53-54
TABQ-19-XI-22-xmul-124-M,21.282,1,1,1,0,0,1,,55-56
TABQ-19-XI-22-xmul-125-M,23.149,1,1,0,0,0,1,p_e needs second opinion,57-58
TABQ-19-XI-22-xmul-126-M,21.271,1,1,1,0,0,0,picture is blurry,59-60
TABQ-19-XI-22-xmul-127-M,18.872,1,1,1,0,0,1,,61-62
TABQ-19-XI-22-xmul-128-M,21.014,1,1,1,0,0,0,,63-64
TABQ-19-XI-22-xmul-129-M,19.796,1,1,1,0,0,1,,65-66
TABQ-19-XI-22-xmul-130-M,21.432,1,1,1,0,0,0,,67-68
TABQ-19-XI-22-xmul-131-M,22.073,1,1,1,0,0,0,,69-70
